"country_name","Job","Democracy","Strong_Leader","Poli_Leader","University","Business"
"Algeria",1.61538461538462,3.44316877152698,3.16762342135476,1.87141216991963,2.72101033295063,2.17680826636051
"Azerbaijan",1.33261802575107,3.14914163090129,2.94635193133047,2.10944206008584,2.7618025751073,2.02575107296137
"Argentina",2.5731272294887,3.48275862068966,2.62425683709869,2.94530321046373,3.15933412604043,3.09036860879905
"Australia",2.64941690962099,3.54008746355685,3.21428571428571,3.01822157434402,3.43148688046647,3.21501457725948
"Armenia",1.80817253121453,3.45402951191827,2.32349602724177,2.26560726447219,3.01475595913734,2.34960272417707
"Brazil",2.59294117647059,3.07843137254902,2.19921568627451,2.83764705882353,3.2243137254902,2.89176470588235
"Belarus",2.20821529745042,3.15368271954674,2.53541076487252,2.14943342776204,3.05807365439094,2.39235127478754
"Chile",2.43489254108723,3.4905183312263,2.83817951959545,2.93046776232617,3.11630847029077,3.13653603034134
"China",2.03988603988604,3.23361823361823,2.61253561253561,2.44088319088319,2.85541310541311,2.60612535612536
"Taiwan ROC",2.07837582625118,3.24173748819641,2.12559017941454,2.82436260623229,3.04249291784703,2.83758262511804
"Colombia",2.43530291697831,3.12041884816754,2.41884816753927,2.8997756170531,3.21017202692595,3.03141361256545
"Cyprus",2.26982378854626,3.6057268722467,2.75220264317181,2.79405286343612,3.38546255506608,2.84691629955947
"Ecuador",2.34893617021277,3.35404255319149,2.14212765957447,2.90978723404255,3.02127659574468,3.02978723404255
"Estonia",2.43143544506816,3.15076182838813,2.88773055332799,2.53568564554932,3.27746591820369,2.74418604651163
"Georgia",2.0061099796334,3.37983706720978,2.33197556008147,2.26069246435845,3.19246435845214,2.35845213849287
"Palestine",1.55909090909091,3.35909090909091,2.69659090909091,1.69886363636364,2.89886363636364,2.14772727272727
"Germany",2.50612679808205,3.6259989344699,3.31166755460842,3.18167288225892,3.37346830047949,3.12306872669153
"Ghana",1.96971649484536,3.74742268041237,3.32538659793814,1.83247422680412,2.95296391752577,2.15077319587629
"Haiti",1.97615344738206,2.87765681700363,3.48937273198548,2.78589942975635,2.22187662001037,2.17210990150337
"Hong Kong SAR",2.14256619144603,3.06619144602851,2.80448065173116,2.66700610997963,2.86252545824847,2.73116089613035
"India",1.70044353462982,3.47253497099966,2.11327192084613,2.25417946093483,2.65233708631866,2.26850904128284
"Iraq",1.50869167429094,3.38609332113449,2.73833485818847,1.77859103385178,2.87099725526075,2.09149130832571
"Japan",1.86561264822134,3.23814229249012,2.92193675889328,2.67193675889328,2.89624505928854,2.73221343873518
"Kazakhstan",1.842,3.284,2.19866666666667,2.19266666666667,3.00333333333333,2.414
"Jordan",1.32839962997225,3.37742830712303,2.69195189639223,1.6567992599445,2.90194264569843,1.92876965772433
"South Korea",1.96031061259707,2.93615185504745,2.53839516824849,2.6220880069025,3.07420189818809,2.71527178602243
"Kuwait",1.56533827618165,3.28266913809082,2.48934198331789,1.75347544022243,2.66543095458758,2.10101946246525
"Kyrgyzstan",1.79043126684636,2.93126684636119,1.82075471698113,2.205525606469,2.6078167115903,2.35309973045822
"Lebanon",1.9304435483871,3.17741935483871,2.39415322580645,2.31854838709677,2.93145161290323,2.61088709677419
"Libya",1.4638619201726,3.53451995685005,2.92233009708738,1.74865156418554,2.72815533980583,1.89697950377562
"Malaysia",1.61307692307692,3.38846153846154,2.51153846153846,2.08923076923077,2.57923076923077,2.33846153846154
"Mexico",2.54626708727655,3.00841219768665,2.44111461619348,2.9248159831756,2.96161934805468,2.98790746582545
"Morocco",1.76470588235294,3.72794117647059,3.15,2.18676470588235,2.97794117647059,2.31176470588235
"Netherlands",2.72067901234568,3.35108024691358,2.99537037037037,3.1983024691358,3.43672839506173,3.28780864197531
"New Zealand",2.74350086655113,3.49220103986135,3.36568457538995,3.07279029462738,3.34142114384749,3.09185441941075
"Nigeria",1.61057418988061,3.52757248436612,2.64297896532121,1.86128482092098,2.55656623081296,2.04150085275725
"Pakistan",1.49722222222222,3.08981481481481,2.65185185185185,1.90555555555556,2.37685185185185,1.90092592592593
"Peru",2.47755102040816,3.36530612244898,2.39387755102041,3.06122448979592,3.10408163265306,3.09285714285714
"Philippines",1.6225614927905,3.04240882103478,2.43765903307888,2.21204410517388,2.55555555555556,2.45971162001696
"Poland",2.32323232323232,3.03896103896104,3.10822510822511,2.65223665223665,3.06782106782107,2.83116883116883
"Romania",1.97614991482112,3.34497444633731,1.9488926746167,2.61328790459966,3.18313458262351,2.81686541737649
"Russia",2.10241980866629,3.00112549240293,2.03376477208779,2.25830050647158,2.86888013505909,2.41812042768711
"Rwanda",1.92730844793713,3.49574328749181,3.12049770792403,2.49836280288147,2.72560576293386,2.524557956778
