"Azerbaijan","Australia","Armenia","Brazil","Belarus","Chile","Taiwan ROC","Colombia","Cyprus","Ecuador","Estonia","Georgia","Germany","Ghana","Haiti","Hong Kong SAR","India","Japan","Kazakhstan","South Korea","Kyrgyzstan","Libya","Malaysia","Mexico","Netherlands","Nigeria","Pakistan","Peru","Philippines","Poland","Romania","Russia","Rwanda","Slovenia","South Africa","Zimbabwe","Spain","Sweden","Thailand","Trinidad and Tobago","Turkey","Ukraine","United States","Uruguay","Uzbekistan","Yemen","Variables"
"6.002478","5.279821","5.642361","5.251412","5.382727","5.083815","4.538462","6.186636","5.214545","5.593110","5.441429","5.267157","4.890955","5.537371","2.725373","5.418401","5.809404","5.890351","6.178000","5.339869","6.536549","5.825284","6.601701","6.219077","5.603960","5.587265","7.377088","5.566879","6.767587","5.279605","5.710448","5.573913","5.438033","5.142534","6.367640","5.224000","4.830303","5.672978","5.947917","6.367041","5.984979","5.494934","5.747899","4.891228","6.189112","6.129630","V95"
"5.900867","4.750673","5.496528","5.114407","4.845455","3.710983","5.962740","5.171659","3.620000","5.644320","3.992857","5.772059","3.805579","6.887887","3.698507","5.940854","3.165517","5.618421","5.339333","6.389356","6.054258","6.656250","6.653519","5.404308","5.437294","6.558840","6.551313","5.831210","6.364203","6.299342","6.047761","3.876522","4.266885","3.493213","6.148354","6.977333","5.250505","5.196213","5.167969","6.988764","4.659871","3.487919","5.504802","5.157895","4.378223","5.750000","V96"
"5.182156","4.795516","6.250000","5.326271","4.872727","7.078035","4.937500","5.697005","4.745455","5.744879","5.588571","5.115196","5.266272","5.670747","4.387463","5.699890","5.445141","4.578947","6.686000","5.403361","5.817634","5.795455","6.078886","6.099692","5.475248","5.608300","5.602625","5.719745","6.331256","6.036184","5.762687","6.053913","3.739672","4.753394","6.388039","4.742000","5.496970","5.156627","6.575521","5.265918","5.715665","6.674201","3.507203","5.287719","4.805158","7.046296","V97"
"5.152416","5.787444","2.854167","4.139831","3.775455","4.277457","5.462740","4.827189","3.810909","5.543762","3.951429","3.117647","4.526627","5.007088","3.453134","6.101862","3.478997","4.184211","4.024667","3.467787","5.119819","4.001420","5.964424","4.646769","5.966997","4.300739","5.414081","5.127389","6.113090","4.766447","5.298507","3.340870","3.455082","4.158371","5.961521","3.870667","4.690909","5.600688","4.744792","6.082397","4.522532","3.048324","6.417167","5.571930","4.487106","2.712963","V98"
"4.287485","3.306726","3.333333","3.734463","3.887273","4.101156","3.251202","4.079493","3.823636","3.851024","3.704286","3.291667","4.109045","2.965851","6.066866","3.920044","2.828213","3.833333","4.838000","3.861811","4.660136","2.916193","3.537510","3.673846","4.740924","3.931779","4.124105","3.743631","4.104185","4.648026","3.008955","4.493913","4.131148","4.052036","5.309689","3.521333","4.090909","3.655766","4.828125","3.063670","4.361588","4.441933","3.312125","4.838596","2.297994","1.833333","V99"
"6.464684","3.691480","4.017361","4.141243","4.340000","4.514451","4.027644","4.706221","5.063636","3.682495","4.891429","5.080882","4.661877","3.012242","8.653134","3.967141","3.119122","4.188596","4.632667","4.272642","3.731726","3.150568","3.641145","3.352615","4.650165","4.287663","4.023866","3.958599","3.738201","5.266447","3.219403","4.843478","4.002623","4.255656","4.949467","3.615333","4.434343","4.196213","4.213542","3.026217","4.478541","4.750585","3.732893","5.357895","2.871060","1.546296","V100"
"7.111524","6.160538","6.142361","7.584746","6.023636","6.768786","7.293269","7.471198","6.372727","7.164804","5.714286","6.343137","5.832629","5.849227","2.115821","7.093100","5.157994","6.057018","6.371333","5.986928","6.827430","7.259943","6.859242","7.733538","6.105611","5.894258","7.060859","7.449045","5.995548","6.217105","6.897015","5.791304","6.236721","5.404977","6.341678","5.955333","5.858586","6.173838","7.570312","7.228464","5.038627","5.484801","6.444778","6.596491","7.037249","7.203704","V101"
"1.431227","1.199103","1.048611","1.401130","1.111818","1.132948","1.165865","1.233871","1.156364","1.209497","1.125714","1.085784","1.247675","1.516753","1.979701","1.184009","1.132915","1.245614","1.090000","1.158730","1.061040","1.056818","1.185615","1.258462","1.468647","1.148380","1.217184","1.335987","1.146928","1.296053","1.237313","1.175652","1.280656","1.178733","1.342142","1.235333","1.056566","1.082616","1.119792","1.389513","1.064378","1.097428","1.323529","1.175439","1.028653","1.027778","V102"
"2.488228","2.144395","2.170139","2.570621","2.220909","2.364162","2.141827","2.567972","2.150909","2.548417","2.115714","1.968137","2.129332","2.522552","2.922388","2.194962","1.789969","2.381579","2.047333","2.228758","1.914092","1.815341","2.094354","2.559385","2.132013","2.092098","1.940334","2.832803","2.222618","2.144737","2.632836","2.175652","1.681967","2.312217","2.074641","2.328000","1.886869","1.814114","2.026042","2.441948","1.834764","2.014030","2.171669","2.182456","1.455587","1.722222","V103"
"2.576208","1.613453","2.020833","2.443503","2.019091","2.167630","1.794471","2.354839","1.929091","2.671322","1.842857","2.169118","1.895182","2.367268","2.718209","1.786418","1.907210","2.074561","2.000000","2.022409","2.192163","1.833807","2.091261","2.483692","1.904290","2.272314","2.218377","2.600318","2.055209","2.019737","2.446269","2.022609","1.977705","1.972851","2.234121","2.263333","1.828283","1.547332","2.113281","2.074906","1.923820","1.954793","1.738896","2.140351","1.776504","1.898148","V104"
"3.612144","2.605381","3.208333","3.365819","3.065455","2.971098","2.794471","3.367512","3.289091","3.314711","2.988571","3.041667","2.825021","3.189433","2.964776","2.925520","2.882759","3.074561","3.153333","3.078431","3.201206","3.215909","3.334880","3.440000","2.833333","3.102899","2.918854","3.640127","3.085485","2.848684","3.335821","3.020870","2.686557","3.244344","2.635605","3.360667","2.747475","2.351119","3.131510","3.273408","3.027897","2.904131","2.731092","2.880702","3.266476","3.018519","V105"
"2.904585","2.307623","3.385417","2.498588","2.707273","2.650289","2.472356","2.998848","2.894545","2.866853","2.657143","2.730392","2.509721","2.663660","2.487164","2.554217","2.400627","3.004386","2.663333","2.652661","3.107008","3.250000","2.812065","3.020923","2.561056","2.674815","3.069212","3.291401","2.771149","2.473684","2.947761","2.737391","2.659016","2.841629","2.406120","2.798667","2.606061","1.998279","2.980469","2.483146","2.738197","2.623539","2.238896","2.677193","3.292264","3.407407","V106"
