"","iso3","ln_y","growth","hc","gvmnt_c","gcf","ext_bal","trade","inflation","fem_emp","tot_emp","inf_mort","lexp","tfr","age_dep_old","age_dep_young","urban","yrsoffc","military","competitiveness_leg","competitiveness_exec","parliamentary","presidential","voice","stability","effectiveness","regulation","law","corruption"
"1","ALB",-0.149881806679021,0.051918334478248,1.03041671853802,-0.844387761170228,2.10349037569806,-1.47487213937886,-0.240082090220232,-0.215471207372153,-0.0888888100405261,-0.385841841402249,-0.508455470308161,0.771892789396893,-0.638450425653801,0.0828627734259376,-0.433644441726517,-0.492999700448505,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,-0.126251644008108,-0.385945002493361,-0.759478549579106,-0.519777988291259,-1.01916065892313,-0.930556604462749
"2","ARG",0.397382476454548,0.0583111128505226,0.63865173817094,-0.653127126546468,-1.259270834483,1.27104478448307,-0.713465886489695,-0.0844259022998944,-0.56223120151486,-0.900464625600013,-0.620141547817203,0.675569880107367,-0.455224598397267,0.684232812384462,-0.496152834592744,1.45574580746044,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,0.0903994927029525,-0.864753566337619,-0.453550533006324,-1.2791722010703,-0.91470996785254,-0.613334720773789
"3","ARM",-0.461021232554819,0.0570471689215244,1.15256825881891,-1.05769432531253,-0.00103885324655025,-0.95633565531426,0.01621046809708,-0.215661186861349,-0.470021653870548,-1.0969568186115,-0.416815611839204,0.487746184831594,-0.922136519568123,0.782115696064048,-0.79368860466525,0.387065255554876,-0.360813749063079,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.587033884724028,-0.358764850358695,-0.366865529703374,-0.235279341598613,-0.475890511602095,-0.738966625959892
"4","AUS",1.44837285209741,0.0165473440939125,1.67550295283288,0.282318091490837,0.356721303581312,0.235562137029845,-0.722556709341858,-0.213364927982151,0.43363195994391,0.184921824322197,-0.966654762652948,1.23118772671932,-0.889030295328625,1.08385874450061,-1.0621777541057,1.37198252755597,-0.077226802431045,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.40142611332734,1.13829883040088,1.4835230446381,1.35332652886868,1.66142209247655,1.48613645817387
"5","AUT",1.43425925910903,0.0146468615393985,0.705088437566741,0.505969317044618,0.258243909109144,0.486694794381274,0.251318517457547,-0.221362556747256,0.193887042268296,-0.0957815125129464,-0.983837236115877,1.11022440029766,-1.09794198621925,1.71344244157572,-1.31919415047376,0.451560440233596,-0.502607222379097,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.27654538379055,1.31248494587041,1.74945413531437,1.48661513052926,1.76868554683263,1.80181880673459
"6","BDI",-1.85341771233531,0.00931664438752102,-1.59506554961174,-0.203664029176837,-2.2978458592598,-0.615896227161213,-1.14197797052761,-0.221909399235002,2.01348868864899,1.86914184533306,1.42743653984856,-1.46081125053602,2.0694103983493,-0.860759882350315,1.61694387147328,-1.96749598103179,-0.077226802431045,2.28011156090195,0.0651590446080016,0.0087731850923219,-0.758212912660786,0.912322935244589,-1.35546929905127,-2.42351701569915,-1.62662492102323,-1.69852607257859,-1.48377016570554,-1.01010532325973
"7","BEL",1.42510881641289,0.0104154039152598,1.11176985252444,1.08896438487301,-0.130993900044487,0.61421681730044,1.2792230912808,-0.21887288138941,-0.340928380968919,-0.909821260721408,-0.983837236115877,1.05232141265009,-0.949534774111156,2.18711968219853,-1.22981218374215,1.78266821436767,-0.502607222379097,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.3665589419242,1.19879134839945,1.76936753406557,1.17061963871635,1.22205451121031,1.20524593688199
"8","BEN",-1.13192561270707,0.0119680989150732,-1.36761697455973,-0.767138910533222,0.015446909781095,-0.533432510726424,-0.505781868186026,-0.210151485917246,1.25122300098894,1.31709180678418,1.33006919022529,-1.08730650495249,1.42954699537555,-0.892279974175636,1.27968802143328,-0.684918398389383,-0.077226802431045,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.0863071789163711,0.760328279797,-0.575834593076278,-0.725133681179057,-0.440796005350132,-0.870591553936493
"9","BGD",-1.17882407665149,0.0347447252571663,-0.870817017172897,-1.95103376593857,0.345628721210571,-0.0525533546974358,-0.986323454263808,-0.208569512709006,0.488957547829891,1.01767519970622,0.568312866702087,-0.0623579845760268,-0.195511977208099,-0.716375172663176,0.172443718970395,-1.28680287628737,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,-0.625180882146333,-1.08880004376266,-0.884709682942043,-1.36127367455706,-0.997765547293971,-1.22714440185644
"10","BGR",0.313013212968575,0.0504033152887633,0.836773180395562,0.71330420869565,-0.144698091008524,-0.31839746718251,0.00600334112180324,-0.209055537669183,-0.402401412731794,-1.45251430721614,-0.643051512434442,0.455475232282745,-1.20068544075563,2.01886845124116,-1.42742589216297,0.609008304078297,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,0.424571930252229,0.409520701118156,-0.000223856835525667,0.370393430848399,-0.191768312896643,-0.318515882188733
"11","BHR",1.10167787144532,0.0194494759045054,0.629833050847343,0.384105128787771,0.204683823035817,1.18920004321404,1.18281837173072,-0.210097775034606,-0.715913780922047,0.512409050629865,-0.817739992640892,0.752297199366686,-0.370175849919935,-1.20201038410507,-0.603113114009915,1.40708857358266,-0.502607222379097,-0.436617107406757,-0.00927046070659482,0.0087731850923219,-0.758212912660786,0.912322935244589,-0.726363072603198,0.203788599855878,0.332739487598225,0.715164402129516,0.5170021241687,0.574445410374451
"12","BLZ",0.148334549372612,0.0100340114099622,0.729376586004301,-0.280709827897406,0.279636993423219,-0.703496159449274,0.928491448888738,-0.218533783302569,-0.586820508020419,-0.151922394039629,-0.539956671656865,0.136232853301581,0.0436519530737937,-0.730814763937108,0.637400965098956,-0.339659540421162,-0.360813749063079,-0.436617107406757,0.0651590446080016,0.0832123313302047,1.31300284875404,-1.09120978529255,0.730307638467137,0.357565595896231,-0.226083949915772,-0.293721021323937,-0.229543535491488,-0.363824748135363
"13","BOL",-0.534928525896355,0.0424605068498913,0.583289198723041,0.0185560944623378,-0.69745548698805,-0.186150242837851,-0.55132448734722,-0.213561408024489,0.69181850574718,0.886680166410057,0.427989333421496,-0.509226049934092,0.315351310625539,-0.36032957127284,0.412005932458173,0.32388284219923,-0.786194169011131,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-0.0149898578435161,-0.387303875264234,-0.484332623148695,-0.298411203396997,-0.530025057301292,-1.01643089932415
"14","BRA",0.2465542358743,0.0285922497369315,-0.158765011804563,0.685331532463626,-0.534500422586141,0.291939764602754,-1.01601262005094,-0.180561091301564,0.298391243165388,0.465625161157341,-0.413951866262049,0.357380069606111,-0.599065434748191,-0.49684405685994,-0.508394525439187,1.13225354497801,0.206360144200989,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,0.328255836592243,0.298613539727247,-0.162967593213775,0.0740330410605474,-0.399858901291682,-0.125240964453623
"15","BRB",1.08084583122436,-0.00387460729997989,0.685822133413915,-0.271578785578643,-0.599133824307604,-0.138748186781543,0.141433023417066,-0.222638531271545,0.636492917861199,0.437554541927628,-0.671688968205992,0.616991748312319,-0.89302587411615,0.876878799403201,-1.00473214538277,-0.917702397193665,0.206360144200989,-0.436617107406757,0.0651590446080016,0.0683245020826281,1.31300284875404,-1.09120978529255,1.32090758712365,1.01823407187598,1.16429374839823,0.927813042567945,1.35628076187813,1.06572918749291
"16","BRN",1.59913155226834,0.0595496697764801,0.444891316902194,2.03433214089497,-0.0538451850110173,1.99523360851148,0.716305121805389,-0.224952882884095,0.538135926339993,0.690187973398556,-0.895061123224075,0.820885280848178,-0.689822152921988,-1.1320828401991,-0.531163944307709,0.719619874912712,3.46761003046939,-0.436617107406757,0.00561544035632446,0.0087731850923219,-0.758212912660786,0.912322935244589,-1.03596282148277,1.10084318579901,0.654970806714681,0.933323184699201,0.389570355387333,0.138561057345911
"17","BWA",0.567606717648815,0.0301483806997241,0.631351705459973,1.17225427110597,1.10426290431184,1.09602881965633,0.355375387858247,-0.22116668816185,0.599608958102868,0.250418984037532,0.330621983798229,-1.71886400265172,-0.0539543287357618,-0.952935316814726,0.245477915470448,-0.0325557457461296,-0.360813749063079,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,0.59786194219207,0.812646472235759,0.390973422265464,0.611143111044593,0.406862095403585,0.42379673538788
"18","CAF",-1.58306519593876,-0.00355835395539857,-1.35584729805821,-0.366268360649961,-1.56203952528244,-0.0550203903700621,-0.833920666888652,-0.237738833149522,1.26966509811861,1.42001622085063,2.10041675047997,-2.19847421491155,1.1504272772184,-0.619866728874351,0.922569647008399,-0.734337886583779,0.348153617517007,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,-1.20255470777217,-1.90770543154118,-1.80075027056337,-1.48815898565953,-1.23075935934238,-1.16276570825202
"19","CAN",1.43851473582962,0.00802752111048141,1.54208643986788,0.694828799444304,-0.223360233824113,0.53565903273077,0.023351754352584,-0.220980183798161,0.673376643118516,0.353343755036739,-0.958063525921483,1.19789936944825,-1.0237383801652,1.06163911461434,-1.20433914449679,1.04789740060505,0.348153617517007,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.50781034339849,1.16716800621309,1.73005584097972,1.48308087672335,1.56685723078142,1.8163637355226
"20","CHE",1.52862478473632,0.0221924255471154,0.870224470316885,-0.790084580116478,0.236115559272073,0.698499584107253,0.342686205119075,-0.228228263942372,0.777880844015607,0.783755752343603,-0.978109744961567,1.274321936141,-1.09794198621925,1.71814399855124,-1.27765756663206,0.771453168443082,-0.360813749063079,-0.436617107406757,0.0800449456709208,0.0832123313302047,1.31300284875404,-1.09120978529255,1.41996581209108,1.49405049162758,1.80628197414183,1.72176692160315,1.82223483887353,1.87387878561805
"21","CHL",0.447467805785386,0.0561631041293246,0.780407428531542,-0.727591497385003,-0.0471098537437918,0.313369198682421,-0.282704459675141,-0.20705638166046,-0.838859844447797,-0.806896846654965,-0.872151158606836,1.00368524727663,-0.742335474129468,0.0996315463990676,-0.720513632116876,1.33416624395905,-0.502607222379097,-0.436617107406757,0.0800449456709208,0.0832123313302047,-0.758212912660786,0.912322935244589,1.01856401689614,1.02503513207308,0.928223022428171,1.35194457963587,1.20659753499589,1.30080296235692
